"Riverview High School","US","FL","Riverview","http://www.sdhc.k12.fl.us/~riverviewhigh.school/"
"Lincoln Christ's Hospital School","UK","","Lincoln","http://www.christs-hospital.lincs.sch.uk/"
"St. Joseph Academy","US","OH","Cleveland","http://www.stjoeacademy.org/"
"Central High School","US","WY","Cheyenne","http://www.laramie1.k12.wy.us/central/"
"Wolcott High School","US","CT","Wolcott",""
"Scottsdale Community College","US","AZ","Scottsdale",""
"Oxford University","UK","","Oxford","http://www.ox.ac.uk/"
"Valdosta High School","US","GA","Valdosta",""
"Los Angeles Pierce Community College","US","CA","Woodland Hills","http://www.piercecollege.com"
"Cimarron-Memorial High School","US","NV","Las Vegas",""
"Ygnacio Valley High School","US","CA","Concord","http://www.mdusd.k12.ca.us/ygnaciovalleyhigh/"
"Art Institute of Pittsburgh","US","PA","Pittsburgh","http://www.aip.aii.edu"
"California State Polytechnic University","US","CA","Pomona","http://www.csupomona.edu/"
"Stonewall Jackson High School","US","VA","Manassas","http://www.sjraiders.org"
"Independence High School","US","CA","San Jose","http://ih.esuhsd.org/"
"Allen County-Scottsville High School","US","KY","Scottsville","http://www.allen.k12.ky.us/acshs/ACSHS%20HomePage/ACSHS%20Home.html"
"Magna Vista High School","US","VA","Ridgeway",""
"Ellington High School","US","CT","Ellington",""
"Chartiers Valley High School","US","PA","Bridgeville",""
"Rhode Island School of Design","US","RI","Providence","http://risd.edu"
"Essex County College","US","NJ","Newark","http://www.essex.edu/"
"Joel Barlow High School","US","CT","Redding",""
"Crafton Hills College","US","CA","Yucaipa","http://www.craftonhills.edu"
"William Floyd High School","US","NY","Mastic Beach",""
"Greenwich Central School","US","NY","Greenwich","http://greenwichcsd.org/"
"Sun Valley High School","US","NC","Monroe",""
"University of Newcastle","AU","Nsw","Newcastle",""
"Forest Hill High School","US","FL","West Palm Beach",""
"Hennepin Technical College","US","MN","Brooklyn Park","http://www.hennepintech.edu"
"Our Lady of Victory Academy","US","NY","Dobbs Ferry",""
"Waubonsee Community College","US","IL","Sugar Grove",""
"University of Aberdeen","UK","","Aberdeen","http://www.abdn.ac.uk/"
"Palisades High School","US","PA","Kintnersville","http://www.palisadessd.org/palisades/site/default.asp"
"Emmaus High School","US","PA","Emmaus","http://www.eastpennsd.org/ehs"
"Rockhurst University","US","MO","Kansas City","http://www.rockhurst.edu"
"Austin Community College","US","TX","Austin","http://www.austincc.edu/"
"Gilbert School","US","CT","Winsted",""
"Padua Franciscan High School","US","OH","Parma","http://www.paduafranciscan.com/"
"Willetton High School","AU","Wa","Perth",""
"Lafayette Charter High School","US","LA","Lafayette",""
"Lee College","US","TX","Baytown",""
"Fitchburg State College","US","MA","Fitchburg","http://www.fsc.edu"
"Perry County Central High School","US","KY","Hazard","http://www.perry.k12.ky.us/PCCHSWeb/default.htm"
"Wylie E. Groves High School","US","MI","Beverly Hills",""
"McMaster University","CA","Ont","Hamilton","http://www.mcmaster.ca"
"Mead High School","US","WA","Spokane","http://mhs.mead.k12.wa.us/"
"Coe College","US","IA","Cedar Rapids","http://www.coe.edu"
"Five Towns College","US","NY","Dix Hills","http://www.ftc.edu"
"Grand Blanc High School","US","MI","Grand Blanc","http://hswww.grand-blanc.k12.mi.us"
"University of Wisconsin","US","WI","Milwaukee","http://www.uwm.edu"
"Niles West High School","US","IL","Skokie","http://www.niles-hs.k12.il.us/west/"
"Arsenal Technical High School","US","IN","Indianapolis",""
"Santa Fe High School","US","FL","Alachua",""
"Chopticon High School","US","MD","Morganza","http://www.smcps.k12.md.us/chs/A-index.htm"
"Pleasantville High School","US","NJ","Pleasantville",""
"Blaine High School","US","MN","Blaine",""
"Silver Valley High School","US","CA","Yermo",""
"Fort Lewis College","US","CO","Durango","http://www.fortlewis.edu"
"University of North Carolina","US","NC","Charlotte","http://www.uncc.edu"
"Lake Worth Community High School","US","FL","Lake Worth",""
"Washington and Jefferson College","US","PA","Washington","http://www.washjeff.edu"
"Las Cruces High School","US","NM","Las Cruces",""
"Hamilton District Christian High School","CA","On","Hamilton","http://www.hdch.org"
"West Windsor - Plainsboro High School North","US","NJ","Plainsboro",""
"Tomales High School","US","CA","Tomales","http://shoreline.marin.k12.ca.us/tomaleshi/"
"Bishop Kenny High School","US","FL","Jacksonville","http://www.bishopkenny.org/"
"Pendleton High School","US","OR","Pendleton",""
"Mansfield High School","US","MA","Mansfield",""
"University of Akron","US","OH","Akron",""
"Hall High School","US","AR","Little Rock","http://www.lrsd.org/schoolindex.cfm?sccode=02"
"Wyoming Valley West","US","PA","Plymouth","http://www.wvwspartans.org"
"North West Vista College","US","TX","San Antonio","http://www.accd.edu/nvc/"
"Hilbert College","US","NY","Hamburg","http://www.hilbert.edu"
"Austin College","US","TX","Sherman","http://www.austincollege.edu"
"Encinal High School","US","CA","Alameda",""
"Edwardsville High School","US","IL","Edwardsville",""
"Coyle and Cassidy Memorial High School","US","MA","Taunton","http://www.coylecassidy.com"
"De la Salle University","PH","","Manila",""
"Suncoast Community High School","US","FL","Riviera Beach",""
"Honeoye Falls- Lima High School","US","NY","Honeoye Falls","http://www.hflcsd.org"
"Theodore Roosevelt High School","US","MI","Wyandotte","http://rhs.wyandotte.org/"
"Panola College","US","TX","Carthage","http://www.panola.edu"
"Mary Institute and Saint Louis Country Day School","US","MO","St. Louis","http://www.micds.org"
"University of California","US","CA","Berkeley","http://www.berkeley.edu"
"Lake Joondalup Baptist College","AU","Wa","Perth",""
"Calabasas High School","US","CA","Calabasas",""
"Bossier High School","US","LA","Bossier City",""
"Waynesboro Area High School","US","PA","Waynesboro","http://www.wasd.k12.pa.us/schools/senior/"
"Statesboro High School","US","GA","Statesboro",""
"Saugus High School","US","MA","Saugus",""
"Lyons Township High School","US","IL","La Grange","http://www.lths.net/"
"Roosevelt High School","US","MI","Wyandotte",""
"Garden City High School","US","NY","Garden City","http://highschool.gardencity.k12.ny.us"
"Neosho High School","US","MO","Neosho","http://www.neoshor5.edu"
"Art Institute of Washington","US","VA","Rosslyn","http://www.aiw.artinstitutes.edu/"
"Englewood High School","US","CO","Englewood","http://englewoodschools.org/ehs"
"Fredericton High School","CA","Nb","Fredericton",""
"North Central Michigan College","US","MI","Petoskey","http://www.ncmc.cc.mi.us"
"Clover Hill High School","US","VA","Midlothian",""
"Los Gatos High School","US","CA","Los Gatos","http://www.lghs.net"
"Northern Highlands Regional High School","US","NJ","Allendale","http://www.northernhighlands.org/"
"Ashland High School","US","MA","Ashland","http://www.ashlandhs.org"
"Eau Gallie High School","US","FL","Melbourne",""
"Potsdam High School","US","NY","Potsdam","http://www.potsdam.k12.ny.us/"
"J. Sterling Morton East High School","US","IL","Cicero","http://www.theramp.net/dist201/east.html"
"Vassar College","US","NY","Poughkeepsie","http://www.vassar.edu"
"Good Counsel High School","US","IL","Chicago",""
"Crete-Monee High School","US","IL","Crete",""
"New Braunfels High School","US","TX","New Braunfels","http://www.newbraunfels.txed.net/hsweb/index.html"
"Liberty High School","US","OH","Youngstown",""
"Baylor School","US","TN","Chattanooga",""
"Upper Arlington High School","US","OH","Upper Arlington","http://school.uaschools.org/uahs/"
"Patapsco High School and Center for the Arts","US","MD","Dundalk",""
"Hillsborough High School","US","FL","Tampa","http://www.sdhc.k12.fl.us/~hillsborough.high/"
"Mojave High School","US","NV","North Las Vegas",""
"Pennsbury High School East","US","PA","Fairless Hills",""
"South Pasadena High School","US","CA","South Pasadena","http://www.sphs.spusd.net/"
"West Lincoln High School","US","NC","Lincolnton",""
"Burlington County College","US","NJ","Pemberton","http://www.bcc.edu"
"Marshall High School","US","MI","Marshall",""
"Drury University","US","MO","Springfield",""
"Rhodes College","US","TN","Memphis","http://www.rhodes.edu"
"Crestwood High School","US","MI","Dearborn Heights",""
"D.W. Poppy Secondary School","CA","Bc","Langley","http://www.sd35.bc.ca/dwp"
"La Roche College","US","PA","Pittsburgh","http://www.laroche.edu/"
"Fort Vancouver High School","US","WA","Vancouver",""
"John Diefenbaker Secondary School","CA","On","Hanover",""
"Oak Park-River Forest High School","US","IL","Oak Park","http://www.oprfhs.org/"
"Portobello High School","UK","","Edinburgh",""
"Lake-Sumter Community College","US","FL","Leesburg","http://iscc.edu"
"United States Air Force Academy","US","CO","Colorado Springs","http://www.usafa.af.mil"
"L'anse Creuse High School Central","US","MI","Harrison Township","http://www.lc-ps.org/Schools/LCHS"
"Revere High School","US","MA","Revere","http://www.revereps.mec.edu/"
"Holy Trinity Academy","CA","Ab","Okotoks","http://www.redeemer.ab.ca/hta.htm"
"Elmira Free Academy","US","NY","Elmira",""
"Sinclair Community College","US","OH","Dayton","http://www.sinclair.edu"
"Highland Park High School","US","NJ","Highland Park",""
"Kentucky State University","US","KY","Frankfort","http://www.kysu.edu"
"Ottawa Township High School","US","IL","Ottawa",""
"Eugene Lang College","US","NY","New York","http://www.lang.edu"
"Notre Dame High School","US","CA","Salinas","http://www.nd-spirits.org/"
"Palos Verdes Peninsula High School","US","CA","Rolling Hills Estates","http://www.pvphs.com"
"Queen of Peace High School","US","NJ","North Arlington","http://www.qphs.org"
"Saratoga Springs High School","US","NY","Saratoga Springs",""
"Monroe High School","US","OH","Monroe","http://www.monroelocalschools.com/schools/senior_high/index.cfm"
"Meadows School","US","NV","Las Vegas",""
"Grand Forks Central High School","US","ND","Grand Forks",""
"University of Arizona","US","AZ","Tucson","http://www.arizona.edu/"
"Federal Way High School","US","WA","Federal Way",""
"Ontario High School","US","CA","Ontario",""
"Donna High School","US","TX","Donna",""
"University of Massachusetts","US","MA","Amherst","http://www.umass.edu"
"University of Illinois","US","IL","Springfield",""
"Spring-Ford High School","US","PA","Royersford","http://www.spring-ford.net/buildings/seniorhigh/pages/MainPages/schoolinfo.htm"
"Waltrip High School","US","TX","Houston",""
"Oceanside High School","US","CA","Oceanside",""
"Diamond Bar High School","US","CA","Diamond Bar","http://www.walnutvalley.k12.ca.us/dbhs/"
"Coronado High School","US","TX","Lubbock",""
"Robert E. Lee High School","US","VA","Springfield","http://www.fcps.edu/LeeHS/index1024.html"
"Staunton River High School","US","VA","Moneta","http://www.bedford.k12.va.us/srhs/Main.htm"
"Uniontown Area High School","US","PA","Uniontown","http://www.uniontown.k12.pa.us/"
"Lexington High School","US","SC","Lexington","http://www.lexington1.net/lhs/"
"London South Secondary School","CA","On","London","http://www.tvdsb.on.ca/south/home.asp"
"American River College","US","CA","Sacramento","http://www.arc.losrios.edu/"
"Full Sail","US","FL","Winter Park","http://fullsail.com"
"Charlottetown Rural High School","CA","Pe","Charlottetown","http://www.edu.pe.ca/rural/"
"Mt. Rainier High School","US","WA","Des Moines","http://www.hsd401.org/mtrainier"
"Clinton High School","US","MS","Clinton",""
"Coronado High School","US","NV","Henderson","http://coronadocougars.net"
"Jarvis Collegiate Institute","CA","On","Toronto","http://schools.tdsb.on.ca/jarvisci/"
"Glenwood Community High School","US","IA","Glenwood","http://www.glenwoodschools.org/hs/"
"Palm Bay High School","US","FL","Melbourne",""
"Belmont High School","US","NH","Belmont","http://highschool.shaker.k12.nh.us/"
"Redlands East Valley High School","US","CA","Redlands","http://www.rev.redlands.k12.ca.us/"
"Davidson College","US","NC","Davidson","http://www.davidson.edu"
"Ross University School of Veterinary Medicine","KN","","Basseterre","http://www.rossvet.edu.kn/"
"Epsom Girls' Grammar School","NZ","","Auckland","http://www.eggs.school.nz"
"Dutch Fork High School","US","SC","Irmo",""
"Streamwood High School","US","IL","Streamwood",""
"Columbia River High School","US","WA","Vancouver","http://river.vansd.org/"
"George C. Marshall High School","US","VA","Falls Church","http://www.fcps.edu/MarshallHS"
"Grant Community High School","US","IL","Fox Lake",""
"Corning-Painted Post West High School","US","NY","Painted Post",""
"College of the Siskiyous","US","CA","Weed","http://www.siskiyous.edu"
"Lagrange High School","US","LA","Lake Charles",""
"University of Southern Maine","US","ME","Gorham",""
"North Carolina Agricultural and Technical State University","US","NC","Greensboro","http://www.ncat.edu"
"Stoughton High School","US","MA","Stoughton",""
"Cardinal Stritch University","US","WI","Milwaukee","http://www.stritch.edu"
"Glen Rock High School","US","NJ","Glen Rock",""
"Cypress Falls High School","US","TX","Houston","http://schools.cfisd.net/cyfalls/index.stm"
"Casper College","US","WY","Casper","http://www.caspercollege.edu/"
"Moscow State Technical University N.A. N.E. Bauman","RU","","Moscow","http://www.mgtu.ru/mstu/English/"
"Floral Park Memorial High School","US","NY","Floral Park",""
"Montague Regional High School","CA","Pe","Montague","http://www.edu.pe.ca/montaguehigh/"
"Tolland High School","US","CT","Tolland","http://www.tolland.k12.ct.us/ths"
"Auburn High School","US","IL","Rockford","http://auburn.rps205.com/"
"Wor-Wic Community College","US","MD","Salisbury","http://www.worwic.cc.md.us/"
"George Washington University","US","DC","Washington",""
"Southern Maine Community College","US","ME","South Portland",""
"Peabody Veterans Memorial High School","US","MA","Peabody",""
"Country Day School of the Sacred Heart","US","PA","Bryn Mawr","http://www.cdssh.org"
"University of Saint Andrews","UK","","St. Andrews","http://www.st-andrews.ac.uk"
"School of Oriental and African Studies","UK","","London","http://www.soas.ac.uk"
"Hope College","US","MI","Holland","http://www.hope.edu"
"Sam Houston High School","US","TX","Arlington",""
"Milwaukee Area Technical College","US","WI","Milwaukee","http://www.matc.edu"
"Harris County High School","US","GA","Hamilton","http://www.harris.k12.ga.us/HCHS_School_Website/index.htm"
"Canton High School","US","MA","Canton",""
"Lisle High School","US","IL","Lisle","http://www.lisle.dupage.k12.il.us/lisle.htm"
"Citrus High School","US","FL","Inverness",""
"Oak Hills High School","US","OH","Cincinnati","http://www.oakhills.k12.oh.us/OHHS/"
"Santa Cruz High School","US","CA","Santa Cruz",""
"Oxford High School","US","MA","Oxford",""
"Robert Morgan Educational Center","US","FL","Miami","http://rmec.dadeschools.net/"
"North Buncombe High School","US","NC","Weaverville",""
"Rosati-Kain High School","US","MO","St. Louis","http://www.rosati-kain.org"
"Stevens Point Area High School","US","WI","Stevens Point",""
"Endicott College","US","MA","Beverly","http://www.endicott.edu/servlet/RetrievePage?site=endicott&page=Home"
"Germantown High School","US","WI","Germantown","http://www.germantown.k12.wi.us/gtownhigh/indexghs.html"
"Seymour High School","US","TN","Seymour",""
"Western Albemarle High School","US","VA","Crozet","http://schoolcenter.k12albemarle.org/education/school/school.php"
"Ravena-Coeymans-selkirk High School","US","NY","Ravena","http://www.rcscsd.org"
"Astronaut High School","US","FL","Titusville","http://astronaut.hs.brevard.k12.fl.us/"
"Chaska High School","US","MN","Chaska","http://www.district112.org/chs/"
"El Molino High School","US","CA","Forestville",""
"Sunset High School","US","OR","Beaverton","http://www.beaverton.k12.or.us/sunset/"
"Meridian High School","US","MS","Meridian","http://www.meridian.k12.ms.us/mh/index.html"
"Our Lady Academy","US","MS","Bay Saint Louis","http://www.ourladyacademy.com"
"Druid Hills High School","US","GA","Decatur","http://www.dekalb.k12.ga.us/~druidhills/"
"Burlington High School","US","MA","Burlington",""
"East Longmeadow High School","US","MA","East Longmeadow","http://www.eastlongmeadow.org/High_School/index.htm"
"John B. Connally High School","US","TX","Austin",""
"Henderson County High School","US","KY","Henderson",""
"San Francisco School of the Arts","US","CA","San Francisco","http://www.sfsota.org/"
"Lebanon High School","US","VA","Lebanon","http://www.russell.k12.va.us/lhs/"
"Winthrop University","US","SC","Rock Hill",""
"Haverford High School","US","PA","Havertown","http://www.haverford.k12.pa.us/hhs.html"
"Norfolk High School","US","NE","Norfolk","http://www.npsne.org/nhs/index.htm"
"Fresno City College","US","CA","Fresno",""
"Hancock High School","US","MS","Kiln",""
"Lake Central High School","US","IN","St. John",""
"University of North Carolina","US","NC","Wilmington","http://www.uncw.edu"
"Hillcrest High School","US","TX","Dallas",""
"Texas Woman's University","US","TX","Denton","http://www.twu.edu"
"La Vergne High School","US","TN","La Vergne","http://www.lhs.rcs.k12.tn.us/dept/athletic/baseballschedule.html"
"New Palestine High School","US","IN","New Palestine","http://www.newpal.k12.in.us/"
"Silverado High School","US","CA","Victorville",""
"Warner Southern College","US","FL","Lake Wales","http://www.warner.edu"
"Theodore Roosevelt High School","US","IA","Des Moines",""
"Sul Ross State University","US","TX","Alpine","http://www.sulross.edu"
"Masters School","US","NY","Dobbs Ferry","http://www.themastersschool.com/"
"Quabbin Regional High School","US","MA","Barre","http://www.quabbin.k12.ma.us"
"Victoria High School","CA","Bc","Victoria","http://www.vichigh.sd61.bc.ca"
"Oklahoma Christian University","US","OK","Oklahoma City","http://www.oc.edu"
"Rancho High School","US","NV","Las Vegas","http://ccsd.net/schools/rancho/"
"Tuscaloosa County High School","US","AL","Northport",""
"Henry Ford Community College","US","MI","Dearborn",""
"Nazareth College of Rochester","US","NY","Rochester","http://www.naz.edu/"
"Shorecrest High School","US","WA","Shoreline",""
"Carver High School","US","MA","Carver",""
"Vail High School","US","AZ","Tucson","http://www.vailhs.net/"
"Concordia University","CA","Pq","Montreal","http://www.concordia.ca"
"Cleveland State Community College","US","TN","Cleveland",""
"Central Saint Martins School of Art and Design","UK","","London","http://www.csm.arts.ac.uk/"
"Carlow University","US","PA","Pittsburgh","http://www.carlow.edu"
"Bishop Strachan School","CA","On","Toronto",""
"Rockbridge County High School","US","VA","Lexington","http://www.rcs.rang.k12.va.us/"
"Universiteit Van","NL","","Amsterdam","http://www.uva.nl/"
"Menlo-Atherton High School","US","CA","Atherton","http://www.mabears.org"
"York House School","CA","Bc","Vancouver","http://www.yorkhouse.ca"
"Canfield High School","US","OH","Canfield",""
"Art Center College of Design","US","CA","Pasadena","http://www.artcenter.edu/"
"Walsh Jesuit High School","US","OH","Cuyahoga Falls",""
"West Milford High School","US","NJ","West Milford","http://www.wmtps.org/hs/main.htm"
"Franklin Regional High School","US","PA","Murrysville","http://www.franklinregional.k12.pa.us/"
"Carmel Catholic High School","US","IL","Mundelein","http://carmel.k12.il.us/"
"William Marsh Rice University","US","TX","Houston","http://www.rice.edu"
"Miami University of Ohio","US","OH","Oxford","http://www.muohio.edu"
"Derby High School","US","KS","Derby",""
"Moanalua High School","US","HI","Honolulu",""
"Hammond High School","US","IN","Hammond",""
"Barrie North Collegiate","CA","On","Barrie","http://bnc.scdsb.on.ca/"
"Otsego High School","US","MI","Otsego","http://otsegobulldogs.org"
"Howland High School","US","OH","Warren",""
"Latymer Upper School","UK","","London","http://www.latymer-upper.org"
"Westminster High School","US","CA","Westminster",""
"Vancouver Community College","CA","Bc","Vancouver","http://www.vcc.bc.ca"
"St. Francis High School","US","MI","Traverse City","http://www.gtacs.org/sfhs.php"
"Montana State University","US","MT","Billings",""
"University of Minnesota - Twin Cities","US","MN","Minneapolis/st. Paul","http://www.umn.edu"
"Lyman High School","US","FL","Longwood",""
"Cortez High School","US","AZ","Phoenix",""
"Harford Technical High School","US","MD","Bel Air","http://www.harfordtech.net//"
"University of Bristol","UK","","Bristol","http://www.bris.ac.uk"
"Pikeville College","US","KY","Pikeville","http://pc.edu"
"University of Dayton","US","OH","Dayton","http://www.udayton.edu"
"Sandra Day O'Connor High School","US","TX","San Antonio",""
"Glen Waverley Secondary College","AU","Vic","Melbourne",""
"Dargaville High School","NZ","","Dargaville","http://www.igrin.co.nz/~darghigh/"
"Anthony Wayne High School","US","OH","Whitehouse",""
